,Code,FIPS,StateFIPS,CountyFIPS,County,State,Country,Latitude,Longitude,Generation(MWh),Emissions(tons)
8109,57776,34023,34,023,Middlesex,New Jersey,USA,40.506358,-74.323519,2365.0,0.0
8110,57485,34019,34,019,Hunterdon,New Jersey,USA,40.483888,-74.856666,11490.0,0.0
8111,60990,34005,34,005,Burlington,New Jersey,USA,40.095611,-74.787611,9375.0,0.0
8112,7138,34029,34,029,Ocean,New Jersey,USA,39.8154,-74.2098,1976.0,3183.575
8113,60732,34037,34,037,Sussex,New Jersey,USA,41.166566,-74.701645,10016.0,0.0
8114,63149,34041,34,041,Warren,New Jersey,USA,40.72,-75.06,13299.0,0.0
8115,66963,34035,34,035,Somerset,New Jersey,USA,40.525967,-74.559144,540.0,0.0
8116,66964,34035,34,035,Somerset,New Jersey,USA,40.480841,-74.494721,674.0,0.0
8117,60759,34023,34,023,Middlesex,New Jersey,USA,40.376292,-74.527849,2035.0,0.0
8118,60994,34029,34,029,Ocean,New Jersey,USA,40.109677,-74.130198,5005.0,0.0
8119,57486,34019,34,019,Hunterdon,New Jersey,USA,40.521667,-75.012222,4097.0,0.0
8120,57487,34019,34,019,Hunterdon,New Jersey,USA,40.514444,-74.976944,3900.0,0.0
8121,58564,34019,34,019,Hunterdon,New Jersey,USA,40.4825,-75.018056,9565.0,0.0
8122,59366,34037,34,037,Sussex,New Jersey,USA,41.189167,-74.591667,9370.0,0.0
8123,64422,34023,34,023,Middlesex,New Jersey,USA,40.48071,-74.48185,1378.0,0.0
8124,63698,34025,34,025,Monmouth,New Jersey,USA,40.172415,-74.023243,4472.0,0.0
8125,62680,34003,34,003,Bergen,New Jersey,USA,40.888632,-74.122229,5911.0,0.0
8126,2393,34019,34,019,Hunterdon,New Jersey,USA,40.565833,-75.163889,26794.0,23488.358
8127,61248,34023,34,023,Middlesex,New Jersey,USA,40.575378,-74.39281,0.0,0.0
8128,66485,34007,34,007,Camden,New Jersey,USA,39.886,-75.109,3268.0,0.0
8129,60752,34015,34,015,Gloucester,New Jersey,USA,39.780789,-75.122887,4286.0,0.0
8130,60839,34017,34,017,Hudson,New Jersey,USA,40.760069,-74.065394,3518.0,0.0
8131,60840,34017,34,017,Hudson,New Jersey,USA,40.77312,-74.077397,2371.0,0.0
8132,52068,34031,34,031,Passaic,New Jersey,USA,40.915319,-74.180986,11616.0,0.0
8133,56877,34023,34,023,Middlesex,New Jersey,USA,40.573708,-74.394414,1594.0,0.0
8134,67461,34021,34,021,Mercer,New Jersey,USA,40.198,-74.633,0.0,0.0
8135,60489,34021,34,021,Mercer,New Jersey,USA,40.168958,-74.630095,9074.0,0.0
8136,66906,34001,34,001,Atlantic,New Jersey,USA,39.657218,-74.808955,1564.0,0.0
8137,59628,34005,34,005,Burlington,New Jersey,USA,40.065278,-74.590556,7548.0,0.0
8138,58095,34031,34,031,Passaic,New Jersey,USA,40.903889,-74.247778,0.0,0.0
8139,59627,34041,34,041,Warren,New Jersey,USA,40.755289,-75.170955,4335.0,0.0
8140,60501,34017,34,017,Hudson,New Jersey,USA,40.782829,-74.072782,917.0,0.0
8141,56701,34003,34,003,Bergen,New Jersey,USA,40.959257,-74.015107,17387.0,14048.615
8142,62438,34023,34,023,Middlesex,New Jersey,USA,40.4987,-74.3878,1606.999,0.0
8143,57869,34023,34,023,Middlesex,New Jersey,USA,40.373898,-74.489236,8041.0,0.0
8144,65468,34023,34,023,Middlesex,New Jersey,USA,40.4966,-74.41746,649.0,0.0
8145,10123,34013,34,013,Essex,New Jersey,USA,40.8359,-74.155,49978.0,14786.816
8146,60763,34019,34,019,Hunterdon,New Jersey,USA,40.599743,-75.108622,2870.0,0.0
8147,65387,34019,34,019,Hunterdon,New Jersey,USA,40.619,-75.155,9788.0,0.0
8148,60933,34021,34,021,Mercer,New Jersey,USA,40.348275,-74.771501,433.0,268.828
8149,61473,34021,34,021,Mercer,New Jersey,USA,40.328005,-74.804896,680.0,0.0
8150,2434,34011,34,011,Cumberland,New Jersey,USA,39.4889,-75.0347,68737.0,41657.823
8151,67460,34025,34,025,Monmouth,New Jersey,USA,40.13,-74.218,0.0,0.0
8152,65953,34025,34,025,Monmouth,New Jersey,USA,40.1337,-74.170856,0.0,0.0
8153,60728,34025,34,025,Monmouth,New Jersey,USA,40.147009,-74.167516,10734.0,0.0
8154,65167,34017,34,017,Hudson,New Jersey,USA,40.72762,-74.10803,2015.0,0.0
8155,62225,34019,34,019,Hunterdon,New Jersey,USA,40.652,-74.908,402.0,0.0
8156,60709,34025,34,025,Monmouth,New Jersey,USA,40.43819,-74.160147,4363.0,0.0
8157,62306,34025,34,025,Monmouth,New Jersey,USA,40.446574,-74.154627,7860.0,0.0
8158,63626,34021,34,021,Mercer,New Jersey,USA,40.18933,-74.65676,1963.0,0.0
8159,61359,34023,34,023,Middlesex,New Jersey,USA,40.582,-74.255,903.0,0.0
8160,61360,34023,34,023,Middlesex,New Jersey,USA,40.583,-74.257,801.0,0.0
8161,63713,34035,34,035,Somerset,New Jersey,USA,40.63251,-74.50348,18057.0,0.0
8162,58016,34005,34,005,Burlington,New Jersey,USA,40.013889,-74.853611,448.0,0.0
8163,60375,34023,34,023,Middlesex,New Jersey,USA,40.470539,-74.383616,9071.0,0.0
8164,61466,34023,34,023,Middlesex,New Jersey,USA,40.595,-74.225,5052.0,0.0
8165,57799,34025,34,025,Monmouth,New Jersey,USA,40.2675,-74.278611,1467.0,0.0
8166,59631,34035,34,035,Somerset,New Jersey,USA,40.555,-74.709444,11286.0,0.0
8167,67070,34023,34,023,Middlesex,New Jersey,USA,40.397,-74.45,2213.0,0.0
8168,58793,34005,34,005,Burlington,New Jersey,USA,39.992818,-74.636933,11453.0,0.0
8169,60113,34029,34,029,Ocean,New Jersey,USA,40.092672,-74.262001,1691.0,0.0
8170,65094,34029,34,029,Ocean,New Jersey,USA,40.06451,-74.35037,4604.0,0.0
8171,59185,34005,34,005,Burlington,New Jersey,USA,40.063743,-74.582429,7588.0,0.0
8172,63530,34017,34,017,Hudson,New Jersey,USA,40.690025,-74.087431,1170.0,0.0
8173,58653,34039,34,039,Union,New Jersey,USA,40.660833,-74.173333,1943.0,0.0
8174,58654,34039,34,039,Union,New Jersey,USA,40.660833,-74.173333,2308.0,0.0
8175,56300,34001,34,001,Atlantic,New Jersey,USA,39.382222,-74.4475,18438.0,0.0
8176,57723,34015,34,015,Gloucester,New Jersey,USA,39.825278,-75.219722,4890.0,0.0
8177,58049,34023,34,023,Middlesex,New Jersey,USA,40.55569,-74.40836,1504.0,0.0
8178,60265,34019,34,019,Hunterdon,New Jersey,USA,40.5237,-74.843398,7086.0,0.0
8179,62739,34011,34,011,Cumberland,New Jersey,USA,39.409744,-75.218545,6236.0,0.0
8180,62746,34025,34,025,Monmouth,New Jersey,USA,40.237803,-74.314421,4309.0,0.0
8181,59910,34029,34,029,Ocean,New Jersey,USA,40.136696,-74.439668,27008.0,0.0
8182,2404,34017,34,017,Hudson,New Jersey,USA,40.737283,-74.096464,132305.0,93938.205
8183,65466,34015,34,015,Gloucester,New Jersey,USA,39.79271,-75.11138,5900.0,0.0
8184,58877,34015,34,015,Gloucester,New Jersey,USA,39.793333,-75.106389,11415.0,0.0
8185,59601,34005,34,005,Burlington,New Jersey,USA,39.980278,-74.770278,14444.0,0.0
8186,60765,34035,34,035,Somerset,New Jersey,USA,40.487906,-74.521366,1484.0,0.0
8187,60766,34025,34,025,Monmouth,New Jersey,USA,40.400273,-74.504689,2414.0,0.0
8188,57868,34023,34,023,Middlesex,New Jersey,USA,40.554341,-74.468014,1731.0,0.0
8189,63413,34009,34,009,Cape may,New Jersey,USA,39.00776,-74.93556,1538.0,0.0
8190,64142,34035,34,035,Somerset,New Jersey,USA,40.570448,-74.63951,288.0,209.213
8191,63503,34029,34,029,Ocean,New Jersey,USA,40.024,-74.312,15915.0,0.0
8192,54640,34029,34,029,Ocean,New Jersey,USA,40.0613,-74.1686,245483.0,120125.82
8193,62454,34029,34,029,Ocean,New Jersey,USA,40.0709,-74.1808,751.0,0.0
8194,57488,34019,34,019,Hunterdon,New Jersey,USA,40.675833,-74.912222,2510.0,0.0
8195,50006,34039,34,039,Union,New Jersey,USA,40.6322,-74.2156,5644192.0,1928042.778
8196,2406,34039,34,039,Union,New Jersey,USA,40.6217,-74.2072,4689366.0,2049605.972
8197,65368,34039,34,039,Union,New Jersey,USA,40.60395,-74.24549,6191.0,0.0
8198,57381,34039,34,039,Union,New Jersey,USA,40.62,-74.2144,3773.0,0.0
8199,67065,34013,34,013,Essex,New Jersey,USA,40.739381,-74.13811,1234.0,0.0
8200,58505,34023,34,023,Middlesex,New Jersey,USA,40.5275,-74.438333,5705.0,0.0
8201,58504,34023,34,023,Middlesex,New Jersey,USA,40.523611,-74.43,577.0,0.0
8202,60769,34009,34,009,Cape may,New Jersey,USA,38.976718,-74.906513,1943.0,0.0
8203,57661,34025,34,025,Monmouth,New Jersey,USA,40.256667,-74.349722,3571.0,0.0
8204,63229,34005,34,005,Burlington,New Jersey,USA,40.11359,-74.70629,2949.0,0.0
8205,57750,34011,34,011,Cumberland,New Jersey,USA,39.4875,-74.980833,3268.0,0.0
8206,10061,0,34,0,Warren,New Jersey,USA,40.8625,-74.825,48540.0,19076.38
8207,57384,34023,34,023,Middlesex,New Jersey,USA,40.534393,-74.269998,2712.0,0.0
8208,57588,34023,34,023,Middlesex,New Jersey,USA,40.3622,-74.4797,3676.0,0.0
8209,66965,34003,34,003,Bergen,New Jersey,USA,40.90192,-74.09369,197.0,0.0
8210,62638,34041,34,041,Warren,New Jersey,USA,40.757615,-74.958162,13268.0,0.0
8211,57662,34021,34,021,Mercer,New Jersey,USA,40.279722,-74.556389,17172.0,0.0
8212,57863,34001,34,001,Atlantic,New Jersey,USA,39.421944,-74.639167,2295.0,0.0
8213,59277,34005,34,005,Burlington,New Jersey,USA,39.922222,-74.806667,1978.0,0.0
8214,58882,34021,34,021,Mercer,New Jersey,USA,40.255833,-74.645278,9774.0,0.0
8215,58070,34021,34,021,Mercer,New Jersey,USA,40.290556,-74.681944,405.0,0.0
8216,10224,34039,34,039,Union,New Jersey,USA,40.615616,-74.26529,42309.0,13642.811
8217,8008,34015,34,015,Gloucester,New Jersey,USA,39.8119,-75.249031,2082.0,2125.046
8218,58090,34023,34,023,Middlesex,New Jersey,USA,40.426389,-74.492222,5862.0,0.0
8219,56119,34023,34,023,Middlesex,New Jersey,USA,40.4903,-74.3156,99380.0,0.044
8220,67368,34023,34,023,Middlesex,New Jersey,USA,40.528289,-74.435463,2473.0,0.0
8221,62637,34019,34,019,Hunterdon,New Jersey,USA,40.614955,-75.156486,11116.0,0.0
8222,62904,34025,34,025,Monmouth,New Jersey,USA,40.254975,-74.380834,2025.0,0.0
8223,57728,34005,34,005,Burlington,New Jersey,USA,40.031388,-74.824722,5077.0,0.0
8224,58822,34011,34,011,Cumberland,New Jersey,USA,39.376389,-75.033056,1492.0,0.0
8225,63451,34023,34,023,Middlesex,New Jersey,USA,40.312,-74.425,17786.0,0.0
8226,63501,34031,34,031,Passaic,New Jersey,USA,40.865207,-74.196651,47030.2,28698.217
8227,65329,34005,34,005,Burlington,New Jersey,USA,39.975579,-74.888716,3704.0,0.0
8228,65348,34027,34,027,Morris,New Jersey,USA,40.881,-74.699,28106.0,0.0
8229,65095,34027,34,027,Morris,New Jersey,USA,40.93207,-74.62377,2851.0,0.0
8230,59844,34023,34,023,Middlesex,New Jersey,USA,40.350341,-74.59268,1140.0,0.0
8231,57471,34039,34,039,Union,New Jersey,USA,40.684444,-74.404444,1562.0,0.0
8232,60857,34029,34,029,Ocean,New Jersey,USA,40.070879,-74.161153,583.0,0.0
8233,60378,34041,34,041,Warren,New Jersey,USA,40.76,-74.935,3806.0,0.0
8234,67808,34013,34,013,Essex,New Jersey,USA,40.684,-74.191,0.0,0.0
8235,67809,34013,34,013,Essex,New Jersey,USA,40.684,-74.191,0.0,0.0
8236,67810,34013,34,013,Essex,New Jersey,USA,40.684,-74.191,0.0,0.0
8237,67811,34013,34,013,Essex,New Jersey,USA,40.684,-74.191,0.0,0.0
8238,57948,34011,34,011,Cumberland,New Jersey,USA,39.380565,-75.188312,15413.0,0.0
8239,57724,34017,34,017,Hudson,New Jersey,USA,40.750833,-74.11,3827.0,0.0
8240,61599,34025,34,025,Monmouth,New Jersey,USA,40.403238,-74.567786,16542.0,0.0
8241,58079,34013,34,013,Essex,New Jersey,USA,40.707222,-74.125833,3681773.0,1440586.299
8242,60806,34017,34,017,Hudson,New Jersey,USA,40.818,-74.017,2259.0,0.0
8243,58358,34027,34,027,Morris,New Jersey,USA,40.924167,-74.494722,4501.0,0.0
8244,59318,34005,34,005,Burlington,New Jersey,USA,40.069601,-74.584842,7608.0,0.0
8245,62903,34025,34,025,Monmouth,New Jersey,USA,40.257726,-74.441969,12238.0,0.0
8246,54980,34029,34,029,Ocean,New Jersey,USA,40.024937,-74.250137,83818.002,0.0
8247,55938,34029,34,029,Ocean,New Jersey,USA,40.0633,-74.1672,232632.0,145565.79
8248,66845,34023,34,023,Middlesex,New Jersey,USA,40.446,-74.284,353.0,0.0
8249,61600,34025,34,025,Monmouth,New Jersey,USA,40.444372,-74.243376,13591.0,0.0
8250,62622,34039,34,039,Union,New Jersey,USA,40.711684,-74.354231,0.0,0.0
8251,62439,34007,34,007,Camden,New Jersey,USA,39.838784,-75.052996,4426.0,0.0
